 fmx(          72)=       8.190032497155E-04
 fmy(          73)=       6.131224993852E-04
 fmx(          73)=       6.131233004008E-04
 fmy(          74)=       4.593870030403E-04
 fmx(          74)=       4.593862726792E-04
 fmy(          75)=       3.444681999250E-04
 fmx(          75)=       3.444683220679E-04
 fmy(          76)=       2.584844489386E-04
 fmx(          76)=       2.584850443217E-04
 fmy(          77)=       1.940949808652E-04
 fmx(          77)=       1.940943840702E-04
 fmy(          78)=       1.458358104322E-04
 fmx(          78)=       1.458356782155E-04
 fmy(          79)=       1.096393918298E-04
 fmx(          79)=       1.096399528108E-04
 fmy(          80)=       8.247269807592E-05
 fmx(          80)=       8.247253651807E-05
 fmy(          81)=       6.206902655016E-05
 fmx(          81)=       6.206868280607E-05
 fmy(          82)=       4.673509380299E-05
 fmx(          82)=       4.673534959138E-05
 fmy(          83)=       3.520542148862E-05
 fmx(          83)=       3.520558340837E-05
 fmy(          84)=       2.653152594117E-05
 fmx(          84)=       2.653126544868E-05
 fmy(          85)=       2.000219535684E-05
 fmx(          85)=       2.000212352897E-05
 fmy(          86)=       1.508493846313E-05
 fmx(          86)=       1.508518395766E-05
 fmy(          87)=       1.138037180906E-05
 fmx(          87)=       1.138044083754E-05
 fmy(          88)=       8.587993314620E-06
 fmx(          88)=       8.587788759310E-06
 fmy(          89)=       6.481849736507E-06
 fmx(          89)=       6.481738241837E-06
 fmy(          90)=       4.892454266213E-06
 fmx(          90)=       4.892605495938E-06
 fmy(          91)=       3.692487383062E-06
 fmx(          91)=       3.692657312484E-06
 fmy(          92)=       2.785817989735E-06
 fmx(          92)=       2.785734433001E-06
 fmy(          93)=       2.099713518144E-06
 fmx(          93)=       2.099528895736E-06
 fmy(          94)=       1.579397525447E-06
 fmx(          94)=       1.579419261231E-06
 fmy(          95)=       1.183735558221E-06
 fmx(          95)=       1.183898353587E-06
 fmy(          96)=       8.815204955284E-07
 fmx(          96)=       8.815691778303E-07
 fmy(          97)=       6.486865024373E-07
 fmx(          97)=       6.485625450655E-07
 fmy(          98)=       4.665043617810E-07
 fmx(          98)=       4.663917162130E-07
 fmy(          99)=       3.197323489314E-07
 fmx(          99)=       3.197962041465E-07
 fmy(         100)=       1.906766091374E-07
 fmx(         100)=       1.908358312821E-07
 fmy(         101)=         0.350646336283
 fmx(         101)=         0.350646336306
 fmy(         102)=         0.316875632413
 fmx(         102)=         0.316875632377
 fmy(         103)=         0.248915804492
 fmx(         103)=         0.248915804492
 fmy(         104)=         0.182463754136
 fmx(         104)=         0.182463754162
 fmy(         105)=         0.133890174902
 fmx(         105)=         0.133890174944
 fmy(         106)=       9.765115855474E-02
 fmx(         106)=       9.765115847721E-02
 fmy(         107)=       7.086981721436E-02
 fmx(         107)=       7.086981719955E-02
 fmy(         108)=       5.171063758012E-02
 fmx(         108)=       5.171063756160E-02
 fmy(         109)=       3.785740433579E-02
 fmx(         109)=       3.785740444444E-02
 fmy(         110)=       2.781031074283E-02
 fmx(         110)=       2.781031065065E-02
 fmy(         111)=       2.049164927329E-02
 fmx(         111)=       2.049164934798E-02
 fmy(         112)=       1.513516052785E-02
 fmx(         112)=       1.513516043885E-02
 fmy(         113)=       1.120345071630E-02
 fmx(         113)=       1.120345093007E-02
 fmy(         114)=       8.308577453991E-03
 fmx(         114)=       8.308577029179E-03
 fmy(         115)=       6.172152595756E-03
 fmx(         115)=       6.172153184979E-03
 fmy(         116)=       4.591981887006E-03
 fmx(         116)=       4.591981086584E-03
 fmy(         117)=       3.421025554080E-03
 fmx(         117)=       3.421026666569E-03
 fmy(         118)=       2.551818507460E-03
 fmx(         118)=       2.551817017302E-03
 fmy(         119)=       1.905604034739E-03
 fmx(         119)=       1.905605784474E-03
 fmy(         120)=       1.424506930251E-03
 fmx(         120)=       1.424505410401E-03
 fmy(         121)=       1.065877526163E-03
 fmx(         121)=       1.065878201394E-03
 fmy(         122)=       7.982328661912E-04
 fmx(         122)=       7.982333231296E-04
 fmy(         123)=       5.982781302761E-04
 fmx(         123)=       5.982769084921E-04
 fmy(         124)=       4.487448357803E-04
 fmx(         124)=       4.487458970183E-04
 fmy(         125)=       3.368210379812E-04
 fmx(         125)=       3.368209662195E-04
 fmy(         126)=       2.529765274218E-04
 fmx(         126)=       2.529757359313E-04
 fmy(         127)=       1.901168173873E-04
 fmx(         127)=       1.901175230953E-04
 fmy(         128)=       1.429580803778E-04
 fmx(         128)=       1.429581882686E-04
 fmy(         129)=       1.075543547605E-04
 fmx(         129)=       1.075537541147E-04
 fmy(         130)=       8.095773198318E-05
 fmx(         130)=       8.095795689659E-05
 fmy(         131)=       6.096672168843E-05
 fmx(         131)=       6.096706125455E-05
 fmy(         132)=       4.593274782553E-05
 fmx(         132)=       4.593244377132E-05
 fmy(         133)=       3.461992869803E-05
 fmx(         133)=       3.461978271879E-05
 fmy(         134)=       2.610320000252E-05
 fmx(         134)=       2.610347680421E-05
 fmy(         135)=       1.968900750646E-05
 fmx(         135)=       1.968906027249E-05
 fmy(         136)=       1.485589341217E-05
 fmx(         136)=       1.485571447183E-05
 fmy(         137)=       1.121225605161E-05
 fmx(         137)=       1.121222372170E-05
 fmy(         138)=       8.464300065652E-06
 fmx(         138)=       8.464389368039E-06
 fmy(         139)=       6.391016610766E-06
 fmx(         139)=       6.391047707246E-06
 fmy(         140)=       4.825873470851E-06
 fmx(         140)=       4.825823285980E-06
 fmy(         141)=       3.643509830758E-06
 fmx(         141)=       3.643475676391E-06
 fmy(         142)=       2.749572288424E-06
 fmx(         142)=       2.749610427504E-06
 fmy(         143)=       2.072931758243E-06
 fmx(         143)=       2.072978624414E-06
 fmy(         144)=       1.559829880090E-06
 fmx(         144)=       1.559818835598E-06
 fmy(         145)=       1.169524360260E-06
 fmx(         145)=       1.169476301170E-06
 fmy(         146)=       8.710923012760E-07
 fmx(         146)=       8.710716616195E-07
 fmy(         147)=       6.409943690789E-07
 fmx(         147)=       6.410269893587E-07
 fmy(         148)=       4.610338450817E-07
 fmx(         148)=       4.610609837537E-07
 fmy(         149)=       3.161542501245E-07
 fmx(         149)=       3.161425404900E-07
 fmy(         150)=       1.886511346644E-07
 fmx(         150)=       1.886245591685E-07
 fmy(         151)=         0.234094176027
 fmx(         151)=         0.234094176041
 fmy(         152)=         0.216111743592
 fmx(         152)=         0.216111743593
 fmy(         153)=         0.182463754163
 fmx(         153)=         0.182463754136
 fmy(         154)=         0.143230423907
 fmx(         154)=         0.143230423907
 fmy(         155)=         0.109809314263
 fmx(         155)=         0.109809314261
 fmy(         156)=       8.342652828888E-02
 fmx(         156)=       8.342652831051E-02
 fmy(         157)=       6.235926604352E-02
 fmx(         157)=       6.235926598533E-02
 fmy(         158)=       4.629617262382E-02
 fmx(         158)=       4.629617271486E-02
 fmy(         159)=       3.435870281621E-02
 fmx(         159)=       3.435870275475E-02
 fmy(         160)=       2.549292380399E-02
 fmx(         160)=       2.549292385047E-02
 fmy(         161)=       1.893613856457E-02
 fmx(         161)=       1.893613842504E-02
 fmy(         162)=       1.408139958378E-02
 fmx(         162)=       1.408139982141E-02
 fmy(         163)=       1.048280481671E-02
 fmx(         163)=       1.048280448478E-02
 fmy(         164)=       7.812550250804E-03
 fmx(         164)=       7.812550758939E-03
 fmy(         165)=       5.828405564067E-03
 fmx(         165)=       5.828404791780E-03
 fmy(         166)=       4.352462232002E-03
 fmx(         166)=       4.352463409580E-03
 fmy(         167)=       3.253262213852E-03
 fmx(         167)=       3.253260559023E-03
 fmy(         168)=       2.433775067075E-03
 fmx(         168)=       2.433777115417E-03
 fmy(         169)=       1.822202278196E-03
 fmx(         169)=       1.822200124975E-03
 fmy(         170)=       1.365352500678E-03
 fmx(         170)=       1.365354122648E-03
 fmy(         171)=       1.023779914817E-03
 fmx(         171)=       1.023779400822E-03
 fmy(         172)=       7.681783454207E-04
 fmx(         172)=       7.681776990030E-04
 fmy(         173)=       5.767567229205E-04
 fmx(         173)=       5.767579952635E-04
 fmy(         174)=       4.332965071052E-04
 fmx(         174)=       4.332956033014E-04
 fmy(         175)=       3.257021806494E-04
 fmx(         175)=       3.257020951592E-04
 fmy(         176)=       2.449549265682E-04
 fmx(         176)=       2.449556259968E-04
 fmy(         177)=       1.843197441137E-04
 fmx(         177)=       1.843192564060E-04
 fmy(         178)=       1.387588212149E-04
 fmx(         178)=       1.387587421687E-04
 fmy(         179)=       1.045063632196E-04
 fmx(         179)=       1.045067505000E-04
 fmy(         180)=       7.874300330859E-05
